Frame 0
125,128,126,125,126,124,126,124,124,126,123,125,124,127,125,126,128,125,126,127,124,125,124,124,124,128,124,125,128,128,126,126,127,126,124,127,124,126,124,127,128,125,123,125,125,122,127,126,127,128,126,124,123,125,129,129,125,126,127,126,124,125,126,124,126,125,127,125,127,125,126,128,127,124,126,126,127,125,123,129,124,126,128,120,126,123,124,123,122,125,124,126,124,124,122,124,125,125,128,123,125,123,123,122,122,125,125,126,125,120,126,124,124,124,127,125,127,124,125,126,125,128,127,126,126,124,126,127,126,123,126,123,126,125,125,123,125,124,120,125,127,121,124,122,126,123,124,124,120,120,125,122,126,126,120,123,126,125,124,126,126,124,118,120,123,123,123,118,122,125,123,123,123,122,124,124,126,123,123,121,123,126,125,119,121,124,123,125,123,122,124,121,119,121,123,122,123,123,124,126,124,123,122,124,121,123,120,124,120,123,124,122,122,123,120,121,124,122,119,121,123,121,121,124,122,123,123,120,121,121,121,119,120,117,119,123,123,120,120,120,122,120,122,120,121,120,121,118,120,116,122,120,124,123,121,122,120,124,119,117,121,119,119,118,120,120,123,118,120,119,117,117,121,121,118,119,118,118,120,120,121,119,118,120,119,119,118,119,118,116,115,118,115,115,118,119,117,118,118,120,117,117,117,119,118,118,118,117,114,116,117,114,115,119,117,119,116,117,116,117,117,114,117,115,118,118,115,117,116,115,119,113,116,115,117,118,114,117,116,115,116,114,117,118,116,117,115,117,118,117,116,113,114,116,115,112,116,114,116,113,116,115,115,114,113,111,114,111,114,114,116,115,115,116,117,111,113,113,117,118,115,114,113,118,116,114,113,114,110,113,112,114,114,115
125,127,124,125,126,123,125,127,124,126,125,123,127,125,126,127,126,124,126,124,128,128,128,127,125,124,126,129,127,126,128,125,124,126,127,124,129,131,125,129,127,126,124,126,127,124,127,125,128,128,127,125,126,128,129,128,126,124,124,127,124,127,126,128,123,126,127,125,125,126,127,128,127,126,124,124,127,129,128,125,128,126,126,126,125,123,126,125,124,126,127,127,125,124,122,121,125,123,122,126,124,126,126,121,126,124,125,121,124,124,123,124,125,124,126,126,125,125,127,127,129,126,127,129,124,127,121,126,124,125,125,125,126,123,126,124,124,123,124,124,125,124,123,126,124,126,125,123,125,123,124,124,121,124,126,124,123,126,120,120,125,123,123,124,122,121,123,126,124,122,125,122,125,126,126,123,123,122,121,123,125,123,120,122,123,123,123,123,125,125,127,122,125,121,124,124,123,122,121,123,122,124,123,127,125,124,122,121,121,123,122,123,122,121,124,118,126,124,121,118,121,122,122,121,123,119,120,122,120,120,119,118,120,122,122,121,121,122,120,118,123,123,123,125,123,120,122,121,122,122,120,119,118,122,121,120,123,119,119,119,122,117,119,119,120,119,121,122,119,125,121,118,119,118,121,118,120,120,119,118,119,119,121,121,118,117,117,118,116,119,115,120,118,119,121,119,122,123,121,121,119,119,120,121,118,116,119,117,118,118,115,117,113,121,118,119,117,119,120,117,117,116,117,115,117,116,115,116,115,118,115,119,118,119,117,117,116,117,117,117,116,116,118,119,118,119,119,116,118,115,118,115,115,116,114,115,116,114,116,115,116,116,114,117,115,116,113,114,115,112,114,115,113,116,113,115,115,114,117,114,116,114,115,112,115,112,115,115,113,113,114,115,114,113
124,121,125,122,123,126,128,126,126,124,124,128,126,128,121,125,127,129,125,130,122,128,125,124,125,128,128,126,126,127,127,127,127,128,129,126,124,126,130,128,128,128,128,126,124,125,128,127,128,129,124,124,126,125,126,127,126,123,124,126,126,128,126,128,126,125,129,126,127,127,125,127,128,126,124,127,126,127,128,130,123,122,124,126,125,123,126,124,126,127,125,125,124,126,127,124,128,125,126,120,124,129,125,125,127,124,126,128,122,125,126,122,126,126,128,126,123,123,126,126,128,125,124,127,126,126,128,126,126,128,124,126,126,123,126,122,122,124,126,125,128,125,124,123,123,125,123,125,128,125,124,124,122,124,124,124,122,124,121,123,124,124,125,124,126,125,121,126,122,123,125,124,124,124,123,125,122,126,124,122,126,122,120,123,120,124,125,126,124,123,124,125,120,126,120,125,121,127,121,126,120,122,123,123,125,124,120,123,121,122,123,122,120,118,119,119,123,121,121,122,120,121,121,122,123,121,121,123,121,127,120,118,119,120,120,121,125,122,122,125,122,122,121,124,124,118,118,120,120,120,121,121,119,120,120,121,122,121,121,122,120,122,117,118,120,121,120,118,117,120,119,122,121,118,121,119,119,117,120,122,117,121,122,120,118,117,119,118,119,118,116,118,118,119,118,118,120,120,121,120,118,122,120,119,116,118,118,117,119,119,117,114,118,120,119,115,118,121,118,120,117,118,116,116,118,119,121,118,118,117,116,116,116,119,117,117,119,118,118,116,116,115,117,116,117,116,117,119,118,115,115,113,114,117,115,114,117,116,117,117,117,118,117,116,112,114,115,114,116,112,114,117,112,113,113,118,113,114,116,112,116,112,115,116,113,111,115,115,113,115,115,117,111,114
126,124,125,124,125,123,125,126,126,125,124,123,126,124,127,127,126,126,127,126,125,126,124,124,120,126,126,126,124,126,125,126,128,123,125,122,125,124,128,127,126,127,126,123,125,126,128,128,128,126,128,126,127,122,124,125,126,126,124,126,131,128,124,124,122,127,126,129,127,124,124,129,126,124,128,125,126,129,123,124,124,126,127,126,122,125,122,124,125,126,123,127,125,124,126,127,126,126,128,125,125,126,126,130,126,124,125,126,123,124,123,126,122,123,124,128,125,126,128,126,126,128,128,126,128,125,125,126,128,123,127,127,125,124,121,124,122,124,127,123,126,126,124,123,121,128,124,129,125,127,126,125,125,123,121,123,126,123,120,123,127,126,122,125,122,126,124,126,121,126,123,124,122,123,123,122,123,120,126,122,121,123,121,121,122,123,120,124,124,122,119,125,122,122,121,123,124,121,120,122,124,126,122,122,123,124,123,122,118,119,124,121,122,119,119,121,123,122,120,121,122,121,121,120,120,123,122,121,120,121,125,120,122,121,124,122,120,118,122,121,121,122,121,122,121,120,122,119,120,119,122,119,117,119,120,120,120,121,121,122,116,122,124,120,119,117,120,117,119,118,118,119,120,118,117,120,120,119,117,118,121,119,118,118,117,116,118,118,119,115,118,119,118,123,119,121,118,115,120,118,115,120,119,116,118,115,116,119,117,115,120,117,116,118,119,115,121,118,119,118,120,116,116,114,119,115,115,117,118,117,116,116,117,118,118,117,118,115,117,116,112,116,117,116,112,118,116,117,115,117,115,115,112,117,113,117,117,115,113,115,115,117,117,113,113,115,115,114,116,116,112,116,115,117,117,115,118,116,115,113,115,117,111,113,112,115,113,112,115,114,113,115,113,112
126,123,122,126,127,123,124,125,122,129,126,125,125,125,127,125,125,128,127,127,124,126,124,123,126,123,125,125,125,128,125,125,126,123,125,125,125,128,125,126,124,123,127,124,126,129,126,127,130,129,128,123,124,125,126,129,127,125,126,126,125,126,127,124,125,125,126,125,126,125,126,126,124,126,126,126,126,125,128,125,124,123,124,123,124,125,127,123,124,124,124,124,126,123,125,128,126,128,124,124,125,123,127,125,126,128,125,124,124,129,124,123,125,124,125,124,126,127,127,124,126,125,125,127,127,123,123,125,129,124,122,122,126,123,123,122,123,123,124,125,124,123,124,126,120,127,126,126,128,122,123,125,125,121,122,123,122,124,124,126,122,124,125,125,127,121,123,122,120,122,121,122,123,122,123,127,124,123,123,121,121,123,124,123,120,121,122,121,120,123,124,123,122,124,123,125,122,121,123,121,119,123,126,121,121,124,121,122,122,124,120,120,120,122,121,124,124,123,122,123,121,119,121,121,119,118,121,120,120,120,124,118,120,120,123,121,120,123,120,120,119,121,121,123,118,120,119,119,120,119,118,119,119,114,119,116,118,118,117,120,120,116,117,120,119,118,119,117,119,119,116,119,118,119,118,119,120,120,117,119,119,117,120,119,117,118,119,118,118,121,120,119,119,117,117,120,120,119,116,120,121,117,120,122,117,121,115,117,113,118,117,114,118,115,114,119,117,118,117,116,118,118,118,119,114,117,117,118,119,116,111,118,115,116,118,119,114,115,115,117,114,115,113,113,114,114,119,119,115,117,114,112,114,114,117,113,118,118,114,115,115,114,116,115,116,114,111,115,111,115,115,114,115,112,114,115,113,113,118,116,117,115,113,117,112,111,114,115,114,114,115,112,110,112
124,124,124,121,121,122,123,126,128,125,126,128,124,127,123,126,124,126,130,125,128,124,126,127,124,124,128,128,126,125,127,128,127,125,127,124,129,124,126,125,125,124,123,127,124,123,124,126,127,128,128,123,125,127,125,126,125,126,122,126,124,129,125,125,127,125,129,128,126,123,124,128,126,127,124,124,123,126,126,123,126,123,123,126,126,125,128,125,125,122,126,125,124,125,124,124,125,125,124,127,122,122,125,129,125,127,127,125,126,125,126,124,122,124,123,124,126,127,128,123,124,124,125,122,126,126,126,123,127,124,123,122,125,127,125,123,124,124,125,122,126,124,125,124,124,124,124,124,125,127,124,119,125,122,124,121,122,123,123,124,126,125,123,123,122,122,121,124,124,121,120,122,124,123,123,126,124,122,120,124,125,124,123,122,121,123,122,120,122,122,123,122,120,122,123,121,121,121,123,122,124,121,123,121,125,125,121,122,123,120,119,120,122,121,120,122,122,119,121,122,121,123,123,120,122,124,120,120,121,123,123,122,119,121,122,122,124,120,122,118,122,118,118,121,119,121,118,117,120,119,120,117,119,118,119,119,119,119,119,122,119,117,121,121,117,119,116,119,120,120,119,117,123,118,117,116,121,117,120,119,117,121,120,118,121,117,120,118,118,119,117,119,114,118,118,121,121,118,118,117,122,120,118,117,119,120,116,113,117,115,114,117,120,115,115,118,118,117,116,116,120,115,119,118,116,120,114,117,117,116,117,117,114,114,117,116,116,117,117,111,114,115,117,114,113,117,116,116,115,115,117,112,116,115,116,116,117,112,114,115,118,116,115,112,114,115,111,112,114,115,113,112,114,114,112,114,115,114,116,113,114,114,112,114,115,113,117,115,114,112,115,112,116,115
125,122,125,125,122,123,124,124,128,124,121,122,123,126,124,127,128,127,129,124,127,125,124,126,124,128,128,125,124,126,126,128,127,126,126,126,129,126,124,125,118,125,125,124,125,124,123,129,122,128,122,126,126,124,124,125,127,127,128,126,125,126,127,128,127,125,125,126,123,126,126,127,128,125,124,127,126,125,128,126,124,125,124,124,126,127,126,124,125,124,125,123,126,123,125,126,122,126,127,127,124,127,125,130,129,123,126,124,124,125,124,125,122,125,125,126,123,120,124,124,126,128,123,125,125,123,127,125,123,126,125,125,126,122,125,121,123,124,126,125,125,124,124,124,125,124,123,125,122,121,124,124,122,119,123,124,124,126,126,124,124,124,124,121,121,120,123,124,121,123,124,122,123,124,120,121,120,123,125,123,122,123,123,120,121,120,122,125,123,122,123,123,123,123,122,124,121,124,120,124,123,121,123,121,120,124,123,122,123,123,120,124,124,121,125,126,122,122,124,121,119,121,122,124,122,121,123,119,121,121,121,121,120,121,120,123,121,118,121,121,125,119,121,122,120,121,117,119,122,119,121,116,121,119,122,119,118,118,120,123,120,119,121,119,121,118,116,117,119,119,120,118,116,120,120,118,117,115,120,119,118,120,118,118,115,122,118,120,117,120,118,116,118,119,118,119,118,116,120,117,116,117,117,117,118,117,114,117,114,117,117,118,118,118,118,117,118,116,115,118,116,117,118,116,119,115,119,118,116,116,117,115,115,114,116,115,117,117,116,116,115,115,116,111,116,115,115,115,117,113,115,117,115,116,117,114,113,112,114,115,116,115,116,119,114,115,115,114,114,116,112,115,113,114,112,113,115,113,115,112,114,114,117,113,113,112,114,112,115,113,115,111,118,113
122,122,125,124,122,125,125,126,124,124,122,125,121,128,124,126,124,125,124,127,123,123,127,126,125,125,126,125,127,125,127,126,129,127,126,127,126,125,125,127,124,127,126,129,123,123,124,125,125,124,126,125,125,126,124,124,122,126,123,125,124,125,128,122,123,125,128,125,126,125,125,125,127,126,126,127,124,127,126,124,125,123,125,122,125,125,126,124,128,123,125,123,126,125,124,126,122,124,124,127,125,123,126,127,129,126,126,127,125,125,126,124,124,124,126,122,125,119,123,128,127,125,126,124,121,125,126,122,126,125,125,125,124,121,126,120,124,124,124,123,123,124,124,125,126,124,127,123,123,122,123,123,124,121,119,122,125,121,122,124,123,123,123,120,120,125,123,123,121,123,123,121,121,122,123,122,124,124,121,123,124,124,125,122,124,121,121,126,124,124,122,123,123,120,122,122,122,122,122,121,120,121,123,122,120,120,122,125,123,122,121,121,122,121,120,126,122,120,120,121,119,124,121,123,124,121,120,119,119,119,121,120,121,121,119,125,119,118,118,120,120,120,120,121,120,118,117,118,118,122,122,119,120,119,122,119,120,122,123,121,121,119,121,121,122,120,117,118,120,120,120,116,119,117,117,117,117,118,119,120,119,117,120,115,115,120,119,119,120,116,116,121,118,120,120,118,117,119,117,117,116,120,113,117,119,118,116,117,116,120,119,120,115,112,120,115,119,116,116,117,116,115,118,116,117,116,114,116,116,116,115,116,115,117,119,115,114,115,117,116,116,117,116,113,116,117,115,114,117,117,115,116,115,114,112,117,113,113,115,115,117,114,116,114,114,113,114,113,113,117,113,113,115,113,113,114,112,111,112,112,114,115,112,116,115,109,114,116,115,113,111,113,115,109
123,124,125,127,125,125,126,123,122,126,122,122,125,128,126,124,124,127,128,124,127,126,125,127,125,124,123,125,126,127,128,128,127,126,127,125,127,126,123,124,128,124,126,125,125,127,123,124,122,126,131,127,127,127,125,127,124,127,127,123,124,126,126,127,128,126,127,128,125,123,124,125,124,126,126,124,126,123,124,125,125,126,123,126,123,123,124,125,127,124,129,123,124,126,122,123,124,124,124,129,123,128,126,127,127,126,122,127,125,123,126,124,125,126,123,123,121,122,124,122,122,123,126,124,123,124,125,122,124,123,128,124,124,125,123,124,122,124,124,127,125,125,121,125,128,124,125,124,122,122,121,121,124,125,124,122,123,121,125,121,125,124,124,123,123,124,121,121,121,121,121,121,124,120,122,123,127,123,120,123,123,122,125,123,122,124,124,120,123,124,121,122,122,121,119,123,122,120,122,118,121,121,121,123,121,122,123,121,124,123,124,122,121,121,125,118,124,122,123,120,123,121,122,121,120,119,120,124,122,120,119,121,125,123,122,123,120,120,120,123,124,121,121,118,119,120,119,117,119,118,118,118,119,119,120,119,122,122,120,119,119,119,119,117,117,118,119,118,117,120,122,119,118,115,119,120,118,118,117,118,118,120,118,118,120,118,116,120,116,119,117,120,119,120,119,121,117,118,118,120,118,117,115,119,117,116,118,117,118,116,117,117,115,118,117,116,114,113,117,117,119,120,115,116,114,117,116,118,115,117,114,120,114,118,112,115,116,117,115,114,115,114,115,116,114,114,118,113,112,114,115,117,113,116,116,116,113,115,110,116,114,115,113,112,112,112,112,114,116,113,115,117,116,115,113,118,115,114,111,113,114,114,112,115,111,114,115,115,114,110,115,115,115,111
126,124,126,127,126,129,124,123,124,124,126,126,123,126,125,123,126,125,122,126,128,126,125,124,127,125,126,123,129,126,125,127,124,126,127,125,125,121,126,124,126,125,128,126,128,124,126,123,127,126,128,126,130,130,129,126,128,129,127,127,124,126,126,127,126,124,123,126,127,124,125,125,128,126,126,125,128,124,128,127,126,128,123,124,126,127,123,125,124,125,124,126,128,124,127,123,123,124,126,126,125,125,128,125,125,126,126,126,127,123,126,124,126,124,127,124,122,124,124,125,124,124,127,123,122,124,126,124,123,126,123,124,125,128,124,123,124,122,127,124,127,127,127,124,122,124,124,123,125,127,125,121,123,122,123,123,122,123,122,122,124,124,126,122,126,124,126,124,125,122,120,125,126,122,123,123,122,124,120,124,123,122,121,122,120,123,124,124,121,123,121,123,122,119,124,118,121,123,122,119,120,120,124,126,122,125,122,122,123,122,126,122,122,123,122,122,126,119,121,119,122,121,122,121,122,117,120,119,116,120,120,121,121,123,119,121,124,122,118,122,121,122,121,121,119,122,119,119,121,120,118,117,118,119,121,121,121,118,123,124,121,121,120,121,120,120,121,121,121,118,121,120,120,119,117,118,123,121,117,117,116,119,122,117,117,119,116,120,120,118,122,117,118,117,119,118,118,118,122,118,117,118,115,117,119,117,117,117,116,119,117,117,117,117,114,118,117,116,117,116,116,117,114,116,114,117,117,115,114,119,116,113,116,117,117,115,114,116,117,117,118,117,116,117,116,115,117,117,117,114,115,112,115,114,116,116,114,114,115,116,115,114,114,115,114,113,113,113,115,115,117,115,115,115,113,114,112,113,116,113,113,115,113,115,114,114,113,111,114,114,110,115,113,112
122,126,124,125,128,128,124,123,123,124,122,124,125,125,125,126,126,123,127,123,127,121,124,129,126,129,126,124,124,127,126,126,128,125,127,126,125,125,124,120,125,126,125,126,124,127,124,125,125,126,125,128,129,126,124,130,123,123,127,127,126,126,125,126,125,129,125,125,125,128,128,124,123,126,127,126,126,124,126,122,126,124,127,128,127,125,126,125,125,122,127,124,123,124,125,125,126,125,127,126,126,124,126,123,125,126,123,128,123,126,122,125,123,123,125,125,124,123,126,127,121,122,123,124,122,124,123,126,125,124,126,125,123,127,125,123,126,125,128,124,123,125,125,126,126,122,124,126,121,126,126,124,124,124,121,122,120,123,120,124,124,123,122,125,123,125,127,127,123,125,125,124,123,125,120,120,125,121,122,122,123,123,119,121,121,123,122,120,120,121,121,124,123,121,122,123,122,122,123,122,120,121,122,122,116,120,126,119,121,126,125,123,121,123,120,123,121,121,122,121,120,121,121,118,119,120,116,118,120,120,122,122,119,122,119,123,119,117,121,122,122,120,121,118,118,120,117,118,117,121,120,119,115,119,121,119,121,122,122,118,123,121,120,120,121,120,120,119,121,119,121,119,118,118,117,119,119,119,117,119,115,115,115,116,118,116,120,119,117,122,120,115,118,117,120,118,118,120,117,120,119,122,117,120,119,116,117,121,115,116,114,119,114,116,119,116,116,115,114,116,118,117,115,119,115,118,114,115,115,115,115,116,117,114,115,115,116,116,119,118,113,116,117,115,112,115,117,118,114,117,114,116,114,115,117,116,117,114,114,113,111,113,114,115,115,114,114,114,115,117,117,114,115,114,114,115,114,115,114,116,112,117,112,114,112,116,114,114,115,113,111,112,112,110
124,127,126,126,126,121,126,125,123,121,127,127,123,128,125,125,122,124,125,126,124,127,124,127,123,126,127,125,126,129,127,128,127,125,127,124,124,127,123,126,123,126,129,130,127,123,129,126,123,124,126,123,128,126,126,125,125,126,127,123,126,129,125,124,124,125,124,127,128,125,125,125,129,126,125,124,124,124,127,124,127,124,128,124,124,124,125,127,126,124,127,124,123,123,123,124,126,127,125,126,126,125,126,126,125,124,124,125,126,123,123,124,123,126,124,123,125,125,122,125,125,126,123,124,125,124,125,126,126,125,124,126,123,127,127,127,125,126,127,124,126,123,126,124,124,125,125,121,126,126,125,120,125,124,125,124,123,122,123,123,126,123,126,123,122,124,123,125,126,125,121,122,120,125,127,123,121,122,124,123,123,126,123,125,119,122,122,124,123,121,123,122,121,124,125,119,121,122,122,121,125,121,121,120,122,121,119,121,123,123,119,122,121,120,122,121,120,123,120,120,121,119,119,121,119,121,121,117,122,122,123,122,123,121,118,121,122,122,120,121,121,122,122,119,123,119,119,120,117,118,122,117,118,120,119,118,121,122,118,123,121,119,122,119,119,121,123,118,121,121,120,118,121,119,120,118,120,120,119,117,122,121,119,121,116,119,120,119,118,120,121,118,120,121,119,120,119,117,117,117,116,119,119,118,120,120,118,117,113,117,118,117,118,122,118,115,114,119,114,115,116,112,119,113,114,118,116,117,119,115,113,116,115,114,114,116,115,116,115,114,115,116,115,113,113,113,116,117,116,114,115,113,113,115,114,114,114,116,116,114,114,112,116,114,115,113,115,113,115,114,117,113,115,116,115,115,112,113,114,112,114,112,116,111,113,112,116,111,115,114,114,115,115,112
